epoch,step,train_loss_epoch,train_loss_step,val/r2,val/rmse,val_loss
0,8,,,-12.9280366897583,5.621891975402832,31.605667114257812
0,8,22.360570907592773,,,,
1,17,,,-7.3522138595581055,4.353497505187988,18.95294189453125
1,17,3.8644003868103027,,,,
2,26,,,-6.116146564483643,4.018463134765625,16.14804458618164
2,26,3.1386945247650146,,,,
3,35,,,-5.915285587310791,3.9613444805145264,15.692249298095703
3,35,2.9017772674560547,,,,
4,44,,,-2.892829179763794,2.972146511077881,8.833654403686523
4,44,2.690739631652832,,,,
5,49,,2.562612533569336,,,
5,53,,,-0.7019714117050171,1.9652312994003296,3.8621339797973633
5,53,2.5223588943481445,,,,
6,62,,,-0.8544929027557373,2.051398754119873,4.208237171173096
6,62,2.348564386367798,,,,
7,71,,,0.12070071697235107,1.412556767463684,1.995316505432129
7,71,2.2959365844726562,,,,
8,80,,,0.3259870409965515,1.2367208003997803,1.5294783115386963
8,80,2.102522134780884,,,,
9,89,,,0.14403772354125977,1.3936856985092163,1.9423599243164062
9,89,2.179495334625244,,,,
10,98,,,0.27854567766189575,1.2795048952102661,1.6371328830718994
10,98,2.060147523880005,,,,
11,99,,1.4736794233322144,,,
11,107,,,0.1789475679397583,1.3649696111679077,1.8631420135498047
11,107,1.9749438762664795,,,,
12,116,,,0.532638430595398,1.0298264026641846,1.0605424642562866
12,116,1.972351312637329,,,,
13,125,,,0.13068336248397827,1.4045155048370361,1.9726637601852417
13,125,1.9212485551834106,,,,
14,134,,,0.2927597165107727,1.2668378353118896,1.6048780679702759
14,134,1.7955853939056396,,,,
15,143,,,0.2478550672531128,1.3064364194869995,1.7067762613296509
15,143,1.746188998222351,,,,
16,149,,1.3458036184310913,,,
16,152,,,-0.44173550605773926,1.8087574243545532,3.2716033458709717
16,152,1.695376992225647,,,,
17,161,,,0.20046430826187134,1.3469654321670532,1.814315915107727
17,161,1.7178916931152344,,,,
18,170,,,0.47506183385849,1.0914192199707031,1.1911959648132324
18,170,1.7675888538360596,,,,
