Stage,MonitorMetric,MonitorDescription,BestMonitorValue,ValLoss_MSE,MSE,RMSE,MAE,R2,Rho,Pearson
Fold_0_Val,rmse,Validation root mean squared error; lower is better.,0.7473159684915419,0.5584811567624512,0.5584811567624512,0.7473159684915419,0.5876005081030039,0.7538860930075795,0.8389789110106104,0.872569739818573
Fold_1_Val,rmse,Validation root mean squared error; lower is better.,0.6579492022285768,0.43289715271322066,0.43289715271322066,0.6579492022285768,0.5094946907116816,0.7037870785971296,0.8001177792576635,0.8407775163650513
Fold_2_Val,rmse,Validation root mean squared error; lower is better.,0.7684343641895464,0.5904913720673923,0.5904913720673923,0.7684343641895464,0.5953715902108413,0.6568679891767741,0.796627789442224,0.8207376599311829
Fold_3_Val,rmse,Validation root mean squared error; lower is better.,0.7765330833170417,0.6030036294858716,0.6030036294858716,0.7765330833170417,0.5991228800553542,0.6937560859120986,0.8176641546108684,0.8350157737731934
Fold_4_Val,rmse,Validation root mean squared error; lower is better.,0.8828005136224799,0.7793367468521143,0.7793367468521143,0.8828005136224799,0.6581456331106332,0.6104288908211104,0.7806045177096844,0.7865148186683655
Average_Val,rmse,Validation root mean squared error; lower is better.,0.7666066263698375,0.59284201157621,0.59284201157621,0.7666066263698375,0.5899470604383028,0.6837452275029384,0.8067986304062101,0.8311231017112732
Holdout_Test (Model from Fold_1),,,,,0.4588465841456133,0.6773821551721105,0.5194434428215027,0.5722532504014328,0.685055920076492,0.7622354626655579
