Stage,MonitorMetric,MonitorDescription,BestMonitorValue,ValLoss_MSE,MSE,RMSE,MAE,R2,Rho,Pearson
Fold_0_Val,rmse,Validation root mean squared error; lower is better.,1.4655104353645456,2.14772083616238,2.14772083616238,1.4655104353645456,1.2968793816238868,0.02517600395093844,0.37054110484011427,0.4213097393512726
Fold_1_Val,rmse,Validation root mean squared error; lower is better.,1.3275791144003373,1.762466304991984,1.762466304991984,1.3275791144003373,1.1082969585447822,-0.18290976051019836,0.17282222343426598,0.12622809410095215
Fold_2_Val,rmse,Validation root mean squared error; lower is better.,1.2644864998267658,1.5989261082441455,1.5989261082441455,1.2644864998267658,1.0461119577174878,0.06426114835979868,0.3186000204680673,0.295290470123291
Fold_3_Val,rmse,Validation root mean squared error; lower is better.,1.363072758658192,1.8579673453960541,1.8579673453960541,1.363072758658192,1.14071299465558,0.08302172848345113,0.35908659796061654,0.370175302028656
Fold_4_Val,rmse,Validation root mean squared error; lower is better.,1.3374675279880428,1.788819388422446,1.788819388422446,1.3374675279880428,1.1002090373094477,0.08649754587459324,0.5146936502444297,0.33834776282310486
Average_Val,rmse,Validation root mean squared error; lower is better.,1.3516232672475765,1.831179996643402,1.831179996643402,1.3516232672475765,1.138442065970237,0.015209333231716627,0.34714871938949876,0.31027027368545534
Holdout_Test (Model from Fold_2),,,,,0.9951252509992323,0.9975596478402845,0.8340281617641448,0.07232263186403531,0.493427658184127,0.3962342441082001
