Stage,MonitorMetric,MonitorDescription,BestMonitorValue,ValLoss_MSE,MSE,RMSE,MAE,R2,Rho,Pearson
Fold_0_Val,rmse,Validation root mean squared error; lower is better.,0.7175389002777254,0.5148620734117676,0.5148620734117676,0.7175389002777254,0.5559635681050424,0.7663104555459004,0.8241254203706698,0.8763799667358398
Fold_1_Val,rmse,Validation root mean squared error; lower is better.,0.6610830847755964,0.4370308449764184,0.4370308449764184,0.6610830847755964,0.5208665778618733,0.7066791854673351,0.8095101468334103,0.8406717777252197
Fold_2_Val,rmse,Validation root mean squared error; lower is better.,0.749374036294858,0.5615614462728472,0.5615614462728472,0.749374036294858,0.5860400536588131,0.6713576317558458,0.8046677340623697,0.8210304379463196
Fold_3_Val,rmse,Validation root mean squared error; lower is better.,0.8297142139866525,0.6884256768914886,0.6884256768914886,0.8297142139866525,0.6320059026470621,0.6602354778581956,0.7863203842538854,0.8152658939361572
Fold_4_Val,rmse,Validation root mean squared error; lower is better.,0.8078822687931199,0.6526737602303188,0.6526737602303188,0.8078822687931199,0.6147820875911639,0.6666968808743419,0.7976095073391242,0.8169229626655579
Average_Val,rmse,Validation root mean squared error; lower is better.,0.7531185008255904,0.5709107603565682,0.5709107603565682,0.7531185008255904,0.5819316379727909,0.6942559263003237,0.804446638571892,0.8340542078018188
Holdout_Test (Model from Fold_1),,,,,0.5001343117540423,0.707201747561502,0.5548270475864411,0.5337639341614496,0.6518273114989658,0.7338789701461792
