fold_0:
   train      val  monitor       lr
0.631289 0.871464 0.933523 0.001000
0.621155 0.798295 0.893473 0.001000
0.765807 0.908170 0.952980 0.001000
0.531354 0.745362 0.863343 0.001000
0.556566 1.433549 1.197309 0.001000
0.792677 1.181599 1.087014 0.001000
0.659513 0.982014 0.990966 0.001000
0.474095 0.708144 0.841513 0.001000
0.499907 0.720287 0.848697 0.001000
0.473847 0.694730 0.833505 0.001000
0.437594 0.698535 0.835784 0.001000
0.455715 0.741321 0.861000 0.001000
0.428881 0.698543 0.835789 0.001000
0.374660 0.722723 0.850131 0.001000
0.347810 0.649361 0.805830 0.001000
0.431125 0.718666 0.847742 0.001000
0.428795 0.798254 0.893450 0.001000
0.346687 0.705283 0.839811 0.001000
0.315283 0.699601 0.836422 0.001000
0.313811 0.715996 0.846166 0.001000
0.386568 0.641248 0.800780 0.001000
0.352924 0.668715 0.817750 0.001000
0.342081 0.634275 0.796414 0.001000
0.309766 0.638372 0.798982 0.001000
0.293414 0.669796 0.818411 0.001000
0.329697 0.803219 0.896225 0.001000
0.291425 0.762186 0.873033 0.001000
0.612699 0.672650 0.820152 0.001000
0.310362 0.618282 0.786309 0.001000
0.315764 0.668785 0.817793 0.001000
0.365155 0.818613 0.904772 0.001000
0.345612 0.669752 0.818384 0.001000
0.483705 0.933318 0.966084 0.001000
0.370990 0.609784 0.780887 0.001000
0.287194 0.852781 0.923461 0.001000
0.294968 0.716794 0.846637 0.001000
0.314612 0.801142 0.895065 0.001000
0.308616 0.787900 0.887637 0.001000
0.346416 0.653001 0.808085 0.001000
0.275261 0.973439 0.986630 0.001000
0.376618 0.704153 0.839138 0.000750
0.246817 0.646353 0.803961 0.000750
0.217173 0.608449 0.780031 0.000750
0.203720 0.720061 0.848564 0.000750
0.210636 0.621759 0.788517 0.000750
0.192108 0.822848 0.907110 0.000750
0.236733 0.808726 0.899292 0.000750
0.394658 0.882304 0.939311 0.000750
0.245455 0.761937 0.872890 0.000750
0.219626 0.677989 0.823401 0.000563
0.193798 0.638237 0.798897 0.000563
0.164606 0.681475 0.825515 0.000563
0.194715 0.621806 0.788547 0.000563
0.167083 0.642211 0.801381 0.000563
0.163941 0.693912 0.833014 0.000563
0.178100 0.662226 0.813773 0.000563
0.171210 0.654034 0.808724 0.000422
0.155885 0.697375 0.835090 0.000422

fold_3:
   train      val  monitor       lr
6.061558 1.867471 1.366555 0.001000
2.049316 1.801322 1.342133 0.001000
1.816889 1.824847 1.350869 0.001000
1.688755 1.638152 1.279903 0.001000
1.381081 1.996904 1.413118 0.001000
1.370135 2.406173 1.551184 0.001000
1.334275 1.439891 1.199954 0.001000
1.339814 1.367024 1.169198 0.001000
1.233068 1.306854 1.143177 0.001000
1.110076 1.269966 1.126928 0.001000
1.089553 1.319437 1.148668 0.001000
0.993409 1.259189 1.122136 0.001000
1.121371 1.884489 1.372767 0.001000
1.169541 1.481766 1.217278 0.001000
0.933401 1.083866 1.041089 0.001000
0.762643 1.069723 1.034274 0.001000
0.749712 1.178814 1.085732 0.001000
0.758267 1.017221 1.008574 0.001000
0.809777 1.319137 1.148537 0.001000
0.750927 1.095321 1.046576 0.001000
0.799352 1.237481 1.112421 0.001000
0.694384 0.914581 0.956337 0.001000
0.732896 0.882845 0.939598 0.001000
0.630484 1.139910 1.067666 0.001000
0.594241 0.959910 0.979750 0.001000
0.537088 1.053890 1.026591 0.001000
0.506266 1.032163 1.015954 0.001000
0.568910 0.872811 0.934243 0.001000
0.846188 1.459394 1.208054 0.001000
0.964795 0.925778 0.962174 0.001000
0.575910 0.906129 0.951908 0.001000
0.591678 0.837949 0.915396 0.001000
0.444856 0.982025 0.990972 0.001000
0.433101 1.510218 1.228909 0.001000
1.121211 1.172138 1.082653 0.001000
0.723562 0.818500 0.904710 0.001000
0.444801 0.795691 0.892015 0.001000
0.411208 0.845665 0.919600 0.001000
0.513597 0.818584 0.904756 0.001000
0.413743 0.898855 0.948080 0.001000
0.452987 1.280232 1.131473 0.001000
0.402964 0.808940 0.899411 0.001000
0.413947 0.878460 0.937262 0.001000
0.531178 1.304469 1.142133 0.000750
0.462221 0.915414 0.956773 0.000750
0.376801 0.721070 0.849158 0.000750
0.394475 0.766912 0.875735 0.000750
0.338501 0.865140 0.930129 0.000750
0.362158 0.899990 0.948678 0.000750
0.326258 0.879541 0.937838 0.000750
0.309591 0.782933 0.884835 0.000750
0.305939 0.767731 0.876202 0.000750
0.273588 1.036948 1.018306 0.000563
0.331135 0.857533 0.926031 0.000563
0.390775 0.766945 0.875754 0.000563
0.272195 0.783602 0.885213 0.000563
0.273059 1.044343 1.021931 0.000563
0.286776 0.774209 0.879891 0.000563
0.240327 0.836606 0.914662 0.000563
0.272619 0.745609 0.863486 0.000422
0.249709 0.834117 0.913300 0.000422

fold_4:
   train      val  monitor       lr
6.309661 2.220852 1.490252 0.001000
2.055933 1.830874 1.353098 0.001000
1.817216 1.789734 1.337810 0.001000
1.640066 2.211569 1.487134 0.001000
2.069962 1.547897 1.244145 0.001000
1.518888 1.995185 1.412510 0.001000
1.501680 1.265534 1.124959 0.001000
1.362715 1.856870 1.362670 0.001000
1.345723 1.144272 1.069707 0.001000
1.195327 1.054553 1.026914 0.001000
1.338112 1.290358 1.135939 0.001000
1.391869 1.938458 1.392285 0.001000
1.111011 1.065292 1.032130 0.001000
1.080096 1.132027 1.063967 0.001000
0.879584 0.958054 0.978803 0.001000
1.189690 1.265830 1.125091 0.001000
0.872457 0.919930 0.959130 0.001000
0.754264 0.982316 0.991118 0.001000
0.962729 1.890612 1.374995 0.001000
0.975218 0.923892 0.961193 0.001000
0.609056 1.629922 1.276684 0.001000
0.890911 0.876088 0.935996 0.001000
0.622737 0.846030 0.919799 0.001000
0.541392 0.899605 0.948475 0.001000
0.579870 0.811897 0.901053 0.001000
0.635773 1.197026 1.094087 0.001000
0.538954 0.792503 0.890226 0.001000
0.477002 0.781120 0.883810 0.001000
0.564154 0.942511 0.970830 0.001000
0.547394 0.824269 0.907893 0.001000
0.494226 0.798248 0.893447 0.001000
0.421161 1.061124 1.030109 0.001000
0.566356 0.955266 0.977377 0.001000
0.679277 0.932953 0.965895 0.001000
0.439783 0.796961 0.892727 0.000750
0.383039 0.857552 0.926041 0.000750
0.341245 0.767461 0.876049 0.000750
0.351962 0.804543 0.896963 0.000750
0.302227 0.796755 0.892611 0.000750
0.294918 0.791775 0.889818 0.000750
0.299385 0.874844 0.935331 0.000750
0.302824 0.930632 0.964693 0.000750
0.370304 0.785276 0.886158 0.000750
0.305615 0.831407 0.911815 0.000563
0.291121 0.747087 0.864342 0.000563
0.296753 0.750318 0.866209 0.000563
0.273516 0.796453 0.892442 0.000563
0.244565 0.779343 0.882804 0.000563
0.270548 0.740326 0.860422 0.000563
0.236195 0.795283 0.891786 0.000563
0.260641 0.809611 0.899784 0.000563
0.232820 0.874446 0.935118 0.000563
0.247001 0.846586 0.920101 0.000563
0.284595 0.747123 0.864363 0.000563
0.272681 0.867113 0.931189 0.000563
