Stage,MonitorMetric,MonitorDescription,BestMonitorValue,ValLoss_MSE,MSE,RMSE,MAE,R2,Rho,Pearson
Fold_0_Val,rmse,Validation root mean squared error; lower is better.,0.73733848562478,0.5436680423834439,0.5436680423834439,0.73733848562478,0.5689592278920688,0.7604140007272912,0.8404229789811629,0.8723098635673523
Fold_1_Val,rmse,Validation root mean squared error; lower is better.,0.6338604542162798,0.4017790754192685,0.4017790754192685,0.6338604542162798,0.5079648742308983,0.7250798418456517,0.8055574619047969,0.8537299633026123
Fold_2_Val,rmse,Validation root mean squared error; lower is better.,0.7859320069031147,0.6176891194747576,0.6176891194747576,0.7859320069031147,0.605037078490624,0.6410634944809797,0.7831932945433847,0.8046711683273315
Fold_3_Val,rmse,Validation root mean squared error; lower is better.,0.8162139971855689,0.6662052892016439,0.6662052892016439,0.8162139971855689,0.629512121127202,0.6616582299427869,0.7954143741464488,0.8154492974281311
Fold_4_Val,rmse,Validation root mean squared error; lower is better.,0.8466501728285509,0.7168165151506152,0.7168165151506152,0.8466501728285509,0.6383902971561138,0.6416812039045792,0.7913022150750169,0.8041226267814636
Average_Val,rmse,Validation root mean squared error; lower is better.,0.7639990233516588,0.5892316083259458,0.5892316083259458,0.7639990233516588,0.5899727197793814,0.6859793541802577,0.803178064930162,0.8300565838813782
Holdout_Test (Model from Fold_1),,,,,0.4711186417042811,0.6863808284795556,0.546897076368332,0.5608129718573938,0.660929282598237,0.7524221539497375
