fold_0:
   train      val  monitor       lr
0.228604 0.625507 0.790890 0.000119
0.201523 0.639680 0.799800 0.000119

fold_3:
   train      val  monitor       lr
6.771592 2.124332 1.457509 0.000500
1.910984 1.833711 1.354146 0.000500
1.839159 1.646982 1.283348 0.000500
1.508447 1.788498 1.337347 0.000500
1.400067 1.509710 1.228703 0.000500
1.245273 1.747539 1.321945 0.000500
1.225328 1.448893 1.203700 0.000500
1.296575 2.004273 1.415723 0.000500
1.226659 1.274868 1.129101 0.000500
1.062057 1.416747 1.190272 0.000500
0.934906 1.249516 1.117818 0.000500
0.839780 1.200165 1.095520 0.000500
1.002251 1.190340 1.091027 0.000500
0.892438 1.855209 1.362060 0.000500
0.934269 1.068513 1.033689 0.000500
0.691203 0.994885 0.997439 0.000500
0.714819 1.384645 1.176709 0.000500
0.702771 0.938865 0.968951 0.000500
0.639089 1.301170 1.140688 0.000500
0.860244 1.021078 1.010484 0.000500
0.591686 1.695235 1.302012 0.000500
0.636535 0.915141 0.956630 0.000500
0.558564 1.248233 1.117243 0.000500
0.805499 0.964970 0.982329 0.000500
0.466318 0.817452 0.904131 0.000500
0.481904 0.958547 0.979054 0.000500
0.463649 0.781825 0.884209 0.000500
0.510204 0.973310 0.986565 0.000500
0.539296 0.809499 0.899722 0.000500
0.409725 0.857329 0.925921 0.000500
0.505432 0.734971 0.857304 0.000500
0.402114 1.076948 1.037761 0.000500
0.512393 0.723823 0.850778 0.000500
0.537859 0.847023 0.920338 0.000500
0.449126 0.720167 0.848626 0.000500
0.349376 0.745207 0.863254 0.000500
0.463970 0.802975 0.896089 0.000500
0.408713 0.746816 0.864185 0.000500
0.480664 0.859853 0.927282 0.000375
0.367674 0.808272 0.899039 0.000375
0.297860 0.714374 0.845206 0.000375
0.291712 0.654040 0.808728 0.000375
0.292541 0.723193 0.850407 0.000375
0.285593 0.768540 0.876664 0.000375
0.286505 0.711449 0.843475 0.000375
0.279288 0.693741 0.832911 0.000281
0.236146 0.903701 0.950632 0.000281
0.242336 0.659428 0.812051 0.000281
0.229627 0.879227 0.937671 0.000281
0.238996 0.667248 0.816853 0.000211
0.225534 0.662423 0.813894 0.000211

fold_4:
   train      val  monitor       lr
6.463023 2.619061 1.618351 0.000500
2.119507 2.267273 1.505747 0.000500
2.018551 1.571057 1.253418 0.000500
1.715145 1.387298 1.177836 0.000500
1.488030 1.601357 1.265447 0.000500
1.475204 1.162480 1.078184 0.000500
1.372523 1.363125 1.167529 0.000500
1.370190 1.073251 1.035978 0.000500
1.306243 1.037929 1.018788 0.000500
1.206456 1.136929 1.066269 0.000500
1.106776 1.110315 1.053715 0.000500
0.982747 0.936093 0.967519 0.000500
0.879298 0.919357 0.958831 0.000500
0.806623 0.883592 0.939996 0.000500
0.787744 0.852059 0.923071 0.000500
0.954876 0.812568 0.901426 0.000500
0.730214 0.893594 0.945301 0.000500
0.749959 0.806000 0.897775 0.000500
0.681844 0.811828 0.901015 0.000500
0.602154 0.737500 0.858778 0.000500
0.694990 0.824855 0.908215 0.000500
0.662133 1.039928 1.019769 0.000500
0.771836 0.692482 0.832155 0.000500
0.490609 0.924297 0.961404 0.000500
0.603498 0.896383 0.946775 0.000500
0.638684 1.210160 1.100073 0.000500
0.554674 0.794687 0.891452 0.000375
0.436264 0.814285 0.902377 0.000375
0.442641 0.952772 0.976100 0.000375
0.424164 0.792553 0.890254 0.000375
0.408774 0.716664 0.846560 0.000281
0.335708 0.707381 0.841060 0.000281
0.318889 0.687173 0.828959 0.000281
0.297427 0.732975 0.856140 0.000281
0.299267 0.747118 0.864360 0.000281
0.290314 0.780876 0.883672 0.000281
0.301095 0.784447 0.885690 0.000211
0.277244 0.708767 0.841883 0.000211
0.288069 0.785790 0.886448 0.000211
0.269674 0.786406 0.886795 0.000211
0.264777 0.713871 0.844909 0.000158
0.230451 0.677563 0.823142 0.000158
0.224281 0.679449 0.824287 0.000158
0.232722 0.773422 0.879444 0.000158
0.239008 0.704619 0.839416 0.000158
0.200047 0.724471 0.851159 0.000119
0.207768 0.692241 0.832010 0.000119
0.197101 0.726038 0.852079 0.000119
0.181055 0.678796 0.823891 0.000119
0.205875 0.683750 0.826892 0.000089
0.179156 0.715218 0.845705 0.000089

