Stage,MonitorMetric,MonitorDescription,BestMonitorValue,ValLoss_MSE,MSE,RMSE,MAE,R2,Rho,Pearson
Fold_0_Val,rmse,Validation root mean squared error; lower is better.,0.7389034627660475,0.5459783272876557,0.5459783272876557,0.7389034627660475,0.5701194592104614,0.7521871717211878,0.8178083911779545,0.8711583018302917
Fold_1_Val,rmse,Validation root mean squared error; lower is better.,0.6489156299603485,0.42109149480683594,0.42109149480683594,0.6489156299603485,0.512879426242741,0.717377156168043,0.8205572531760833,0.8479482531547546
Fold_2_Val,rmse,Validation root mean squared error; lower is better.,0.7840521222810514,0.6147377304534207,0.6147377304534207,0.7840521222810514,0.5959147442388171,0.6402372974032686,0.7890169843187659,0.8025287985801697
Fold_3_Val,rmse,Validation root mean squared error; lower is better.,0.808727686294879,0.6540404705798682,0.6540404705798682,0.808727686294879,0.621757326235298,0.6772058983166069,0.8046980650805318,0.8235324025154114
Fold_4_Val,rmse,Validation root mean squared error; lower is better.,0.8231424178183966,0.6775634400119158,0.6775634400119158,0.8231424178183966,0.6443187371184007,0.6539863838224644,0.7925887056154349,0.8118977546691895
Average_Val,rmse,Validation root mean squared error; lower is better.,0.7607482638241445,0.5826822926279392,0.5826822926279392,0.7607482638241445,0.5889979386091435,0.6881987814863141,0.8049338798737541,0.8314131021499633
Holdout_Test (Model from Fold_1),,,,,0.4403149740688562,0.663562336234401,0.5360343182086944,0.5895288197290783,0.7093851069816651,0.7703635692596436
