MW,LogP,validity,uniqueness,novelty,acceptance_rate,total_generated,accepted,invalid_or_empty,in_training,duplicate,rejected_by_filter
150.0,-4.0,0.7197265625,0.9822823660714286,0.9999302455357143,0.6990792410714286,14336,10022,4018,1,254,41
150.0,-2.888888888888889,0.7507301401869159,0.985616238317757,0.9998539719626168,0.735616238317757,13696,10075,3414,2,197,8
150.0,-1.7777777777777777,0.7661458333333333,0.9827380952380952,0.999702380952381,0.7485119047619048,13440,10060,3143,4,232,1
150.0,-0.6666666666666665,0.7804915048543689,0.9842233009708737,0.999317354368932,0.7640321601941747,13184,10073,2894,9,208,0
150.0,0.44444444444444464,0.7952665441176471,0.973422181372549,0.9994638480392157,0.7681525735294118,13056,10029,2673,7,347,0
150.0,1.5555555555555554,0.8088191105769231,0.9447866586538461,0.9981971153846154,0.7518028846153846,13312,10008,2545,24,735,0
150.0,2.666666666666667,0.8141188063063063,0.8940033783783784,0.998803490990991,0.7069256756756757,14208,10044,2641,17,1506,0
150.0,3.7777777777777786,0.8102262126865671,0.7750116604477612,0.9983675373134329,0.5836054104477612,17152,10010,3255,28,3859,0
150.0,4.888888888888889,0.7816636029411764,0.6801011029411764,0.9985753676470588,0.46034007352941175,21760,10017,4751,31,6961,0
150.0,6.0,0.7512394831730769,0.6274789663461539,0.9986102764423077,0.3767653245192308,26624,10031,6623,37,9918,15
188.88888888888889,-4.0,0.7391209112149533,0.9980286214953271,0.9997809579439252,0.7351781542056075,13696,10069,3573,3,27,24
188.88888888888889,-2.888888888888889,0.7747395833333334,0.9981617647058824,0.9999234068627451,0.7723651960784313,13056,10084,2941,1,24,6
188.88888888888889,-1.7777777777777777,0.7925347222222222,0.9981849747474747,0.9996054292929293,0.7903251262626263,12672,10015,2629,5,23,0
188.88888888888889,-0.6666666666666665,0.8130637886597938,0.9978253865979382,0.999597293814433,0.8104864690721649,12416,10063,2321,5,27,0
188.88888888888889,0.44444444444444464,0.8233235677083334,0.9973958333333334,0.9996744791666666,0.8203938802083334,12288,10081,2171,4,32,0
188.88888888888889,1.5555555555555554,0.8397606382978723,0.9957613031914894,0.9994182180851063,0.8349401595744681,12032,10046,1928,7,51,0
188.88888888888889,2.666666666666667,0.8488198138297872,0.987782579787234,0.9987533244680851,0.8353557180851063,12032,10051,1819,15,147,0
188.88888888888889,3.7777777777777786,0.8472576530612245,0.9587850765306123,0.9980867346938775,0.8041294642857143,12544,10087,1916,24,517,0
188.88888888888889,4.888888888888889,0.8051801801801802,0.9039273648648649,0.9989442567567568,0.7080518018018018,14208,10060,2768,15,1365,0
188.88888888888889,6.0,0.7728223425196851,0.8461491141732284,0.9990157480314961,0.6179872047244095,16256,10046,3693,16,2501,0
227.77777777777777,-4.0,0.723838876146789,0.9997849770642202,1.0,0.7224053899082569,13952,10079,3853,0,3,17
227.77777777777777,-2.888888888888889,0.7729013480392157,0.9996936274509803,0.9999234068627451,0.7722120098039216,13056,10082,2965,1,4,4
227.77777777777777,-1.7777777777777777,0.7975852272727273,0.9998421717171717,0.9997632575757576,0.7971906565656566,12672,10102,2565,3,2,0
227.77777777777777,-0.6666666666666665,0.8173828125,0.9994303385416666,0.9998372395833334,0.816650390625,12288,10035,2244,2,7,0
227.77777777777777,0.44444444444444464,0.8410073138297872,0.9998337765957447,0.9996675531914894,0.8405086436170213,12032,10113,1913,4,2,0
227.77777777777777,1.5555555555555554,0.8604910714285714,0.999742445054945,0.9999141483516484,0.8601476648351648,11648,10019,1625,1,3,0
227.77777777777777,2.666666666666667,0.8665865384615384,0.9984546703296703,0.999742445054945,0.8647836538461539,11648,10073,1554,3,18,0
227.77777777777777,3.7777777777777786,0.8621773097826086,0.9940557065217391,0.999405570652174,0.8556385869565217,11776,10076,1623,7,70,0
227.77777777777777,4.888888888888889,0.8398848684210526,0.984375,0.999671052631579,0.8239309210526315,12160,10019,1947,4,190,0
227.77777777777777,6.0,0.7951304611650486,0.9638956310679612,0.9996207524271845,0.7586468446601942,13184,10002,2701,5,476,0
266.66666666666663,-4.0,0.6955199115044248,0.9998617256637168,0.9999308628318584,0.6944828539823009,14464,10045,4404,1,2,12
266.66666666666663,-2.888888888888889,0.7515775240384616,0.9997746394230769,1.0,0.7512019230769231,13312,10000,3307,0,3,2
266.66666666666663,-1.7777777777777777,0.78390625,1.0,1.0,0.78390625,12800,10034,2766,0,0,0
266.66666666666663,-0.6666666666666665,0.8177083333333334,1.0,0.9998372395833334,0.8175455729166666,12288,10046,2240,2,0,0
266.66666666666663,0.44444444444444464,0.835688164893617,1.0,0.9999168882978723,0.8356050531914894,12032,10054,1977,1,0,0
266.66666666666663,1.5555555555555554,0.8587740384615384,1.0,0.999742445054945,0.8585164835164835,11648,10000,1645,3,0,0
266.66666666666663,2.666666666666667,0.8729166666666667,0.9999131944444445,1.0,0.8728298611111112,11520,10055,1464,0,1,0
